C_1,C_2,h,r_0,Phi,RB,,
-0.1,-0.2,0.22,0.36,0.41,"0.2776
",,
-0.1,-0.1,0.22,0.39,0.48,"0.2077
",,
-0.1,0,0.22,0.43,0.58,"0
",,
-0.1,0.1,0.22,0.4,0.5,"0
",,
-0.1,0.2,0.22,0.36,0.42,"0
",,
-0.1,0.3,0.22,0.33,0.36,"0
",,
0,-0.3,0.22,0.33,0.35,"0.3673
",,
0,-0.2,0.22,0.35,0.4,"0.3594
",,
0,-0.1,0.22,0.38,0.47,"0.3041
",,
0,0,0.22,0.4,0.49,"0.1212
",,
0,0.1,0.22,0.36,0.41,"0
",,
0,0.2,0.22,0.33,0.35,"0
",,
0,0.3,0.22,0.3,0.3,"0
",,
0.1,-0.3,0.22,0.32,0.35,"0.4086
",,
0.1,-0.2,0.22,0.35,0.39,"0.4127
",,
0.1,-0.1,0.22,0.37,0.44,"0.3555
",,
0.1,0,0.22,0.36,0.41,"0.1025
",,
0.1,0.1,0.22,0.33,0.34,"0
",,
0.1,0.2,0.22,0.3,0.3,"0
",,
0.1,0.3,0.22,0.28,0.26,"0
",,
0.2,-0.3,0.22,0.32,0.34,"0.4343
",,
0.2,-0.2,0.22,0.34,0.38,"0.4411
",,
0.2,-0.1,0.22,0.35,0.4,"0.3490
",,
0.2,0,0.22,0.33,0.35,"0.0847
",,
0.2,0.1,0.22,0.3,0.3,"0
",,
0.2,0.2,0.22,0.28,0.26,"0
",,
0.2,0.3,0.22,0.26,0.23,"0
",,
0.3,-0.3,0.22,0.31,0.33,"0.4390
",,
0.3,-0.2,0.22,0.33,0.36,"0.4595
",,
0.3,-0.1,0.22,0.33,0.36,"0.3165
",,
0.3,0,0.22,0.3,0.3,"0.0961
",,
0.3,0.1,0.22,0.28,0.26,"0.0251
",,
0.3,0.2,0.22,0.26,0.23,"0.0076
",,
0.3,0.3,0.22,0.25,0.21,0.01,,
